model_id,family,version,local_or_api,category,tasks_supported,languages,streaming_support,realtime_latency_target_ms,base_weights,runtime,quantization,hardware_reqs,context_or_max_audio,benchmarks,license,pricing,docs_url,community_signal,integration_complexity,known_failure_modes,ideal_use_cases,avoid_when,notes,implementation_priority,maturity_level,latency_class,cost_class,packaging_targets,eval_suites,evidence_links,last_reviewed_utc,consent_risk,maintenance_risk
whisper-base-openai-whisper-pytorch-fp32,Whisper,base,Local,ASR,"ASR, language ID, transcription, (optional) translation via task=translate",multilingual (except *.en variants where applicable),Chunked streaming; near real-time possible with small chunks,,whisper-base,openai-whisper (PyTorch),fp32,CPU or GPU; Apple Silicon supported via PyTorch/Metal in some setups,Chunked processing; 30s windows typical; can run longer with segmentation.,See runtime docs; performance varies by runtime and quantization,See model and runtime repos (OpenAI released Whisper weights; code license varies by implementation),,https://github.com/openai/whisper,very high,medium,"Overlapping speakers, heavy noise, strong accents, or domain jargon can reduce accuracy; timestamps drift without alignment.",General-purpose transcription; offline workflows; robust baseline across many languages,Hard real-time low-latency requirements without careful chunking; extremely noisy multi-speaker rooms,Treat each runtime and quantization combo as a separate deployable variant.,P0,production,near-realtime,free/open,"mac,linux,windows","asr-general,asr-multispeaker,asr-noisy",,2026-02-05T05:38:30Z,,low
whisper-base-openai-whisper-pytorch-fp16,Whisper,base,Local,ASR,"ASR, language ID, transcription, (optional) translation via task=translate",multilingual (except *.en variants where applicable),Chunked streaming; near real-time possible with small chunks,,whisper-base,openai-whisper (PyTorch),fp16,CPU or GPU; Apple Silicon supported via PyTorch/Metal in some setups,Chunked processing; 30s windows typical; can run longer with segmentation.,See runtime docs; performance varies by runtime and quantization,See model and runtime repos (OpenAI released Whisper weights; code license varies by implementation),,https://github.com/openai/whisper,very high,medium,"Overlapping speakers, heavy noise, strong accents, or domain jargon can reduce accuracy; timestamps drift without alignment.",General-purpose transcription; offline workflows; robust baseline across many languages,Hard real-time low-latency requirements without careful chunking; extremely noisy multi-speaker rooms,Treat each runtime and quantization combo as a separate deployable variant.,P0,production,near-realtime,free/open,"mac,linux,windows","asr-general,asr-multispeaker,asr-noisy",,2026-02-05T05:38:30Z,,low
whisper-base-transformers-hf-fp32,Whisper,base,Local,ASR,"ASR, language ID, transcription, (optional) translation via task=translate",multilingual (except *.en variants where applicable),Chunked streaming; near real-time possible with small chunks,,whisper-base,transformers (HF),fp32,CPU or GPU; best with GPU for batch,Chunked processing; 30s windows typical; can run longer with segmentation.,See runtime docs; performance varies by runtime and quantization,See model and runtime repos (OpenAI released Whisper weights; code license varies by implementation),,https://github.com/openai/whisper,very high,medium,"Overlapping speakers, heavy noise, strong accents, or domain jargon can reduce accuracy; timestamps drift without alignment.",General-purpose transcription; offline workflows; robust baseline across many languages,Hard real-time low-latency requirements without careful chunking; extremely noisy multi-speaker rooms,Treat each runtime and quantization combo as a separate deployable variant.,P0,production,near-realtime,free/open,"mac,linux,windows","asr-general,asr-multispeaker,asr-noisy",,2026-02-05T05:38:30Z,,low
whisper-base-transformers-hf-fp16,Whisper,base,Local,ASR,"ASR, language ID, transcription, (optional) translation via task=translate",multilingual (except *.en variants where applicable),Chunked streaming; near real-time possible with small chunks,,whisper-base,transformers (HF),fp16,CPU or GPU; best with GPU for batch,Chunked processing; 30s windows typical; can run longer with segmentation.,See runtime docs; performance varies by runtime and quantization,See model and runtime repos (OpenAI released Whisper weights; code license varies by implementation),,https://github.com/openai/whisper,very high,medium,"Overlapping speakers, heavy noise, strong accents, or domain jargon can reduce accuracy; timestamps drift without alignment.",General-purpose transcription; offline workflows; robust baseline across many languages,Hard real-time low-latency requirements without careful chunking; extremely noisy multi-speaker rooms,Treat each runtime and quantization combo as a separate deployable variant.,P0,production,near-realtime,free/open,"mac,linux,windows","asr-general,asr-multispeaker,asr-noisy",,2026-02-05T05:38:30Z,,low
whisper-base-faster-whisper-ctranslate2-fp16,Whisper,base,Local,ASR,"ASR, language ID, transcription, (optional) translation via task=translate",multilingual (except *.en variants where applicable),Chunked streaming; near real-time possible with small chunks,,whisper-base,faster-whisper (CTranslate2),fp16,CPU ok; GPU recommended for high throughput; int8 works well on CPU,Chunked processing; 30s windows typical; can run longer with segmentation.,See runtime docs; performance varies by runtime and quantization,See model and runtime repos (OpenAI released Whisper weights; code license varies by implementation),,https://github.com/openai/whisper,very high,medium,"Overlapping speakers, heavy noise, strong accents, or domain jargon can reduce accuracy; timestamps drift without alignment.",General-purpose transcription; offline workflows; robust baseline across many languages,Hard real-time low-latency requirements without careful chunking; extremely noisy multi-speaker rooms,Treat each runtime and quantization combo as a separate deployable variant.,P0,production,near-realtime,free/open,"mac,linux,windows","asr-general,asr-multispeaker,asr-noisy",,2026-02-05T05:38:30Z,,low
whisper-base-faster-whisper-ctranslate2-int8,Whisper,base,Local,ASR,"ASR, language ID, transcription, (optional) translation via task=translate",multilingual (except *.en variants where applicable),Chunked streaming; near real-time possible with small chunks,,whisper-base,faster-whisper (CTranslate2),int8,CPU ok; GPU recommended for high throughput; int8 works well on CPU,Chunked processing; 30s windows typical; can run longer with segmentation.,See runtime docs; performance varies by runtime and quantization,See model and runtime repos (OpenAI released Whisper weights; code license varies by implementation),,https://github.com/openai/whisper,very high,medium,"Overlapping speakers, heavy noise, strong accents, or domain jargon can reduce accuracy; timestamps drift without alignment.",General-purpose transcription; offline workflows; robust baseline across many languages,Hard real-time low-latency requirements without careful chunking; extremely noisy multi-speaker rooms,Treat each runtime and quantization combo as a separate deployable variant.,P0,production,near-realtime,free/open,"mac,linux,windows","asr-general,asr-multispeaker,asr-noisy",,2026-02-05T05:38:30Z,,low
whisper-base-faster-whisper-ctranslate2-int4,Whisper,base,Local,ASR,"ASR, language ID, transcription, (optional) translation via task=translate",multilingual (except *.en variants where applicable),Chunked streaming; near real-time possible with small chunks,,whisper-base,faster-whisper (CTranslate2),int4,CPU ok; GPU recommended for high throughput; int8 works well on CPU,Chunked processing; 30s windows typical; can run longer with segmentation.,See runtime docs; performance varies by runtime and quantization,See model and runtime repos (OpenAI released Whisper weights; code license varies by implementation),,https://github.com/openai/whisper,very high,medium,"Overlapping speakers, heavy noise, strong accents, or domain jargon can reduce accuracy; timestamps drift without alignment.",General-purpose transcription; offline workflows; robust baseline across many languages,Hard real-time low-latency requirements without careful chunking; extremely noisy multi-speaker rooms,Treat each runtime and quantization combo as a separate deployable variant.,P0,production,near-realtime,free/open,"mac,linux,windows","asr-general,asr-multispeaker,asr-noisy",,2026-02-05T05:38:30Z,,low
whisper-base-whisper-cpp-fp16,Whisper,base,Local,ASR,"ASR, language ID, transcription, (optional) translation via task=translate",multilingual (except *.en variants where applicable),Chunked streaming; near real-time possible with small chunks,,whisper-base,whisper.cpp,fp16,CPU; Apple Silicon Metal acceleration available; very small footprint with int4/int8,Chunked processing; 30s windows typical; can run longer with segmentation.,See runtime docs; performance varies by runtime and quantization,See model and runtime repos (OpenAI released Whisper weights; code license varies by implementation),,https://github.com/openai/whisper,very high,medium,"Overlapping speakers, heavy noise, strong accents, or domain jargon can reduce accuracy; timestamps drift without alignment.",General-purpose transcription; offline workflows; robust baseline across many languages,Hard real-time low-latency requirements without careful chunking; extremely noisy multi-speaker rooms,Treat each runtime and quantization combo as a separate deployable variant.,P0,production,near-realtime,free/open,"mac,linux,windows","asr-general,asr-multispeaker,asr-noisy",,2026-02-05T05:38:30Z,,low
whisper-base-whisper-cpp-int8,Whisper,base,Local,ASR,"ASR, language ID, transcription, (optional) translation via task=translate",multilingual (except *.en variants where applicable),Chunked streaming; near real-time possible with small chunks,,whisper-base,whisper.cpp,int8,CPU; Apple Silicon Metal acceleration available; very small footprint with int4/int8,Chunked processing; 30s windows typical; can run longer with segmentation.,See runtime docs; performance varies by runtime and quantization,See model and runtime repos (OpenAI released Whisper weights; code license varies by implementation),,https://github.com/openai/whisper,very high,medium,"Overlapping speakers, heavy noise, strong accents, or domain jargon can reduce accuracy; timestamps drift without alignment.",General-purpose transcription; offline workflows; robust baseline across many languages,Hard real-time low-latency requirements without careful chunking; extremely noisy multi-speaker rooms,Treat each runtime and quantization combo as a separate deployable variant.,P0,production,near-realtime,free/open,"mac,linux,windows","asr-general,asr-multispeaker,asr-noisy",,2026-02-05T05:38:30Z,,low
whisper-base-whisper-cpp-int4,Whisper,base,Local,ASR,"ASR, language ID, transcription, (optional) translation via task=translate",multilingual (except *.en variants where applicable),Chunked streaming; near real-time possible with small chunks,,whisper-base,whisper.cpp,int4,CPU; Apple Silicon Metal acceleration available; very small footprint with int4/int8,Chunked processing; 30s windows typical; can run longer with segmentation.,See runtime docs; performance varies by runtime and quantization,See model and runtime repos (OpenAI released Whisper weights; code license varies by implementation),,https://github.com/openai/whisper,very high,medium,"Overlapping speakers, heavy noise, strong accents, or domain jargon can reduce accuracy; timestamps drift without alignment.",General-purpose transcription; offline workflows; robust baseline across many languages,Hard real-time low-latency requirements without careful chunking; extremely noisy multi-speaker rooms,Treat each runtime and quantization combo as a separate deployable variant.,P0,production,near-realtime,free/open,"mac,linux,windows","asr-general,asr-multispeaker,asr-noisy",,2026-02-05T05:38:30Z,,low
whisper-small-openai-whisper-pytorch-fp32,Whisper,small,Local,ASR,"ASR, language ID, transcription, (optional) translation via task=translate",multilingual (except *.en variants where applicable),Chunked streaming; near real-time possible with small chunks,,whisper-small,openai-whisper (PyTorch),fp32,CPU or GPU; Apple Silicon supported via PyTorch/Metal in some setups,Chunked processing; 30s windows typical; can run longer with segmentation.,See runtime docs; performance varies by runtime and quantization,See model and runtime repos (OpenAI released Whisper weights; code license varies by implementation),,https://github.com/openai/whisper,very high,medium,"Overlapping speakers, heavy noise, strong accents, or domain jargon can reduce accuracy; timestamps drift without alignment.",General-purpose transcription; offline workflows; robust baseline across many languages,Hard real-time low-latency requirements without careful chunking; extremely noisy multi-speaker rooms,Treat each runtime and quantization combo as a separate deployable variant.,P0,production,near-realtime,free/open,"mac,linux,windows","asr-general,asr-multispeaker,asr-noisy",,2026-02-05T05:38:30Z,,low
whisper-small-openai-whisper-pytorch-fp16,Whisper,small,Local,ASR,"ASR, language ID, transcription, (optional) translation via task=translate",multilingual (except *.en variants where applicable),Chunked streaming; near real-time possible with small chunks,,whisper-small,openai-whisper (PyTorch),fp16,CPU or GPU; Apple Silicon supported via PyTorch/Metal in some setups,Chunked processing; 30s windows typical; can run longer with segmentation.,See runtime docs; performance varies by runtime and quantization,See model and runtime repos (OpenAI released Whisper weights; code license varies by implementation),,https://github.com/openai/whisper,very high,medium,"Overlapping speakers, heavy noise, strong accents, or domain jargon can reduce accuracy; timestamps drift without alignment.",General-purpose transcription; offline workflows; robust baseline across many languages,Hard real-time low-latency requirements without careful chunking; extremely noisy multi-speaker rooms,Treat each runtime and quantization combo as a separate deployable variant.,P0,production,near-realtime,free/open,"mac,linux,windows","asr-general,asr-multispeaker,asr-noisy",,2026-02-05T05:38:30Z,,low
whisper-small-transformers-hf-fp32,Whisper,small,Local,ASR,"ASR, language ID, transcription, (optional) translation via task=translate",multilingual (except *.en variants where applicable),Chunked streaming; near real-time possible with small chunks,,whisper-small,transformers (HF),fp32,CPU or GPU; best with GPU for batch,Chunked processing; 30s windows typical; can run longer with segmentation.,See runtime docs; performance varies by runtime and quantization,See model and runtime repos (OpenAI released Whisper weights; code license varies by implementation),,https://github.com/openai/whisper,very high,medium,"Overlapping speakers, heavy noise, strong accents, or domain jargon can reduce accuracy; timestamps drift without alignment.",General-purpose transcription; offline workflows; robust baseline across many languages,Hard real-time low-latency requirements without careful chunking; extremely noisy multi-speaker rooms,Treat each runtime and quantization combo as a separate deployable variant.,P0,production,near-realtime,free/open,"mac,linux,windows","asr-general,asr-multispeaker,asr-noisy",,2026-02-05T05:38:30Z,,low
whisper-small-transformers-hf-fp16,Whisper,small,Local,ASR,"ASR, language ID, transcription, (optional) translation via task=translate",multilingual (except *.en variants where applicable),Chunked streaming; near real-time possible with small chunks,,whisper-small,transformers (HF),fp16,CPU or GPU; best with GPU for batch,Chunked processing; 30s windows typical; can run longer with segmentation.,See runtime docs; performance varies by runtime and quantization,See model and runtime repos (OpenAI released Whisper weights; code license varies by implementation),,https://github.com/openai/whisper,very high,medium,"Overlapping speakers, heavy noise, strong accents, or domain jargon can reduce accuracy; timestamps drift without alignment.",General-purpose transcription; offline workflows; robust baseline across many languages,Hard real-time low-latency requirements without careful chunking; extremely noisy multi-speaker rooms,Treat each runtime and quantization combo as a separate deployable variant.,P0,production,near-realtime,free/open,"mac,linux,windows","asr-general,asr-multispeaker,asr-noisy",,2026-02-05T05:38:30Z,,low
whisper-small-faster-whisper-ctranslate2-fp16,Whisper,small,Local,ASR,"ASR, language ID, transcription, (optional) translation via task=translate",multilingual (except *.en variants where applicable),Chunked streaming; near real-time possible with small chunks,,whisper-small,faster-whisper (CTranslate2),fp16,CPU ok; GPU recommended for high throughput; int8 works well on CPU,Chunked processing; 30s windows typical; can run longer with segmentation.,See runtime docs; performance varies by runtime and quantization,See model and runtime repos (OpenAI released Whisper weights; code license varies by implementation),,https://github.com/openai/whisper,very high,medium,"Overlapping speakers, heavy noise, strong accents, or domain jargon can reduce accuracy; timestamps drift without alignment.",General-purpose transcription; offline workflows; robust baseline across many languages,Hard real-time low-latency requirements without careful chunking; extremely noisy multi-speaker rooms,Treat each runtime and quantization combo as a separate deployable variant.,P0,production,near-realtime,free/open,"mac,linux,windows","asr-general,asr-multispeaker,asr-noisy",,2026-02-05T05:38:30Z,,low
whisper-small-faster-whisper-ctranslate2-int8,Whisper,small,Local,ASR,"ASR, language ID, transcription, (optional) translation via task=translate",multilingual (except *.en variants where applicable),Chunked streaming; near real-time possible with small chunks,,whisper-small,faster-whisper (CTranslate2),int8,CPU ok; GPU recommended for high throughput; int8 works well on CPU,Chunked processing; 30s windows typical; can run longer with segmentation.,See runtime docs; performance varies by runtime and quantization,See model and runtime repos (OpenAI released Whisper weights; code license varies by implementation),,https://github.com/openai/whisper,very high,medium,"Overlapping speakers, heavy noise, strong accents, or domain jargon can reduce accuracy; timestamps drift without alignment.",General-purpose transcription; offline workflows; robust baseline across many languages,Hard real-time low-latency requirements without careful chunking; extremely noisy multi-speaker rooms,Treat each runtime and quantization combo as a separate deployable variant.,P0,production,near-realtime,free/open,"mac,linux,windows","asr-general,asr-multispeaker,asr-noisy",,2026-02-05T05:38:30Z,,low
whisper-small-faster-whisper-ctranslate2-int4,Whisper,small,Local,ASR,"ASR, language ID, transcription, (optional) translation via task=translate",multilingual (except *.en variants where applicable),Chunked streaming; near real-time possible with small chunks,,whisper-small,faster-whisper (CTranslate2),int4,CPU ok; GPU recommended for high throughput; int8 works well on CPU,Chunked processing; 30s windows typical; can run longer with segmentation.,See runtime docs; performance varies by runtime and quantization,See model and runtime repos (OpenAI released Whisper weights; code license varies by implementation),,https://github.com/openai/whisper,very high,medium,"Overlapping speakers, heavy noise, strong accents, or domain jargon can reduce accuracy; timestamps drift without alignment.",General-purpose transcription; offline workflows; robust baseline across many languages,Hard real-time low-latency requirements without careful chunking; extremely noisy multi-speaker rooms,Treat each runtime and quantization combo as a separate deployable variant.,P0,production,near-realtime,free/open,"mac,linux,windows","asr-general,asr-multispeaker,asr-noisy",,2026-02-05T05:38:30Z,,low
whisper-small-whisper-cpp-fp16,Whisper,small,Local,ASR,"ASR, language ID, transcription, (optional) translation via task=translate",multilingual (except *.en variants where applicable),Chunked streaming; near real-time possible with small chunks,,whisper-small,whisper.cpp,fp16,CPU; Apple Silicon Metal acceleration available; very small footprint with int4/int8,Chunked processing; 30s windows typical; can run longer with segmentation.,See runtime docs; performance varies by runtime and quantization,See model and runtime repos (OpenAI released Whisper weights; code license varies by implementation),,https://github.com/openai/whisper,very high,medium,"Overlapping speakers, heavy noise, strong accents, or domain jargon can reduce accuracy; timestamps drift without alignment.",General-purpose transcription; offline workflows; robust baseline across many languages,Hard real-time low-latency requirements without careful chunking; extremely noisy multi-speaker rooms,Treat each runtime and quantization combo as a separate deployable variant.,P0,production,near-realtime,free/open,"mac,linux,windows","asr-general,asr-multispeaker,asr-noisy",,2026-02-05T05:38:30Z,,low
whisper-small-whisper-cpp-int8,Whisper,small,Local,ASR,"ASR, language ID, transcription, (optional) translation via task=translate",multilingual (except *.en variants where applicable),Chunked streaming; near real-time possible with small chunks,,whisper-small,whisper.cpp,int8,CPU; Apple Silicon Metal acceleration available; very small footprint with int4/int8,Chunked processing; 30s windows typical; can run longer with segmentation.,See runtime docs; performance varies by runtime and quantization,See model and runtime repos (OpenAI released Whisper weights; code license varies by implementation),,https://github.com/openai/whisper,very high,medium,"Overlapping speakers, heavy noise, strong accents, or domain jargon can reduce accuracy; timestamps drift without alignment.",General-purpose transcription; offline workflows; robust baseline across many languages,Hard real-time low-latency requirements without careful chunking; extremely noisy multi-speaker rooms,Treat each runtime and quantization combo as a separate deployable variant.,P0,production,near-realtime,free/open,"mac,linux,windows","asr-general,asr-multispeaker,asr-noisy",,2026-02-05T05:38:30Z,,low
whisper-small-whisper-cpp-int4,Whisper,small,Local,ASR,"ASR, language ID, transcription, (optional) translation via task=translate",multilingual (except *.en variants where applicable),Chunked streaming; near real-time possible with small chunks,,whisper-small,whisper.cpp,int4,CPU; Apple Silicon Metal acceleration available; very small footprint with int4/int8,Chunked processing; 30s windows typical; can run longer with segmentation.,See runtime docs; performance varies by runtime and quantization,See model and runtime repos (OpenAI released Whisper weights; code license varies by implementation),,https://github.com/openai/whisper,very high,medium,"Overlapping speakers, heavy noise, strong accents, or domain jargon can reduce accuracy; timestamps drift without alignment.",General-purpose transcription; offline workflows; robust baseline across many languages,Hard real-time low-latency requirements without careful chunking; extremely noisy multi-speaker rooms,Treat each runtime and quantization combo as a separate deployable variant.,P0,production,near-realtime,free/open,"mac,linux,windows","asr-general,asr-multispeaker,asr-noisy",,2026-02-05T05:38:30Z,,low
